cidade;latitude;longitude
Olimpia;-20.7369;-48.915
Coari;-4.085;-63.1414
Camaqua;-30.8511;-51.8122
Capivari;-22.995;-47.5078
Crateus;-5.1783;-40.6775
Mongagua;-24.0869;-46.6289
Barra do Garcas;-15.8796;-52.26
Porto Feliz;-23.215;-47.5239
Jaguariuna;-22.68;-46.99
Itacoatiara;-3.1431;-58.4442
Tefe;-3.3684;-64.7205
Campos do Jordao;-22.7394;-45.5914
Araguaina;-7.19;-48.21
Sao Joaquim da Barra;-20.5808;-47.855
Itarare;-24.1125;-49.3317
Quixada;-4.9714;-39.0153
Jales;-20.2689;-50.5458
Barra do Corda;-5.5031;-45.2369
Floriano;-6.7669;-43.0225
Senhor do Bonfim;-10.4614;-40.1894
Rio Verde;-17.8196;-50.93
Rio Grande da Serra;-23.7439;-46.3978
Ponte Nova;-20.4164;-42.9086
Guaxupe;-21.3053;-46.7128
Goianesia;-15.3175;-49.1175
Capanema;-1.1958;-47.1808
Itamaraju;-17.0392;-39.5311
Campo Belo;-20.8896;-45.28
Capao Bonito;-24.0058;-48.3494
Itaberaba;-12.5275;-40.3069
Breves;-1.6822;-50.4803
Leopoldina;-21.5319;-42.6431
Santa Cruz do Rio Pardo;-22.8989;-49.6328
Cabreuva;-23.3075;-47.1331
Mairinque;-23.5464;-47.1836
Pontal;-21.0225;-48.0372
Dracena;-21.4825;-51.5328
Irati;-25.4672;-50.6511
Cameta;-2.2396;-49.51
Cerquilho Velho;-23.165;-47.7436
Pederneiras;-22.3517;-48.775
Piripiri;-4.2733;-41.7769
Paraguacu Paulista;-22.4197;-50.5797
Garca;-22.2153;-49.6511
Camocim;-2.9022;-40.8411
Aracati;-4.5617;-37.7697
Inhumas;-16.3578;-49.4961
Pinhal;-22.1908;-46.7408
Louveira;-23.0864;-46.9506
Salto de Pirapora;-23.6489;-47.5728
Presidente Epitacio;-21.7633;-52.1156
Imbituba;-28.2296;-48.66
Ararangua;-28.9357;-49.4954
Caninde;-4.3589;-39.3117
Orlandia;-20.7203;-47.8867
Itapolis;-21.5958;-48.8128
Salgueiro;-8.0742;-39.1192
Penedo;-10.2903;-36.5864
Castro;-24.7893;-50.0123
Brumado;-14.2036;-41.6653
